ID,adj.P.Val,P.Value,t,B,logFC,Gene,Genetitle
37586_at,7.54E-07,2.63E-09,-7.411784,11.20015,-0.5674352,ZNF142,zinc finger protein 142
31532_at,7.54E-07,2.69E-09,-7.405503,11.17976,-0.6534287,MECOM,MDS1 and EVI1 complex locus
34438_at,7.97E-07,3.03E-09,-7.369669,11.06341,-0.4913726,SERPINB9,serpin family B member 9
949_s_at,7.97E-07,3.04E-09,7.36902,11.0613,1.2350997,PSMC6,"proteasome 26S subunit, ATPase 6"
37537_at,7.97E-07,3.08E-09,7.364981,11.04819,0.805833,TRIM23,tripartite motif containing 23
34307_at,7.97E-07,3.09E-09,7.363886,11.04463,1.3104117,TM9SF2,transmembrane 9 superfamily member 2
35084_at,8.47E-07,3.36E-09,-7.339706,10.96606,-0.8667553,AMH,anti-Mullerian hormone
39814_s_at,8.68E-07,3.51E-09,7.32665,10.92362,1.0373728,DHRS7,dehydrogenase/reductase 7
920_at,8.76E-07,3.61E-09,-7.318174,10.89607,-0.5492765,NKTR,natural killer cell triggering receptor
36046_at,9.50E-07,4.00E-09,7.287483,10.79625,0.9796239,RCHY1,ring finger and CHY zinc finger domain containing 1
36920_at,9.50E-07,4.13E-09,7.278339,10.7665,0.5598326,MTM1,myotubularin 1
2038_g_at,9.50E-07,4.14E-09,-7.277584,10.76404,-0.6707763,BCL2,"BCL2, apoptosis regulator"
40451_at,9.62E-07,4.27E-09,-7.268535,10.7346,-0.6324497,POLE,"DNA polymerase epsilon, catalytic subunit"
33591_at,9.69E-07,4.37E-09,-7.261443,10.71151,-0.8772218,,
32401_at,9.89E-07,4.54E-09,-7.250085,10.67454,-0.6307047,NRTN,neurturin
32777_at,9.95E-07,4.68E-09,7.241155,10.64547,1.1771634,WRB,tryptophan rich basic protein
32295_at,9.95E-07,4.73E-09,-7.23823,10.63595,-0.9208771,HCG9,HLA complex group 9 (non-protein coding)
1151_at,1.01E-06,4.87E-09,7.229403,10.6072,0.7990107,RPL22,ribosomal protein L22
160037_at,1.06E-06,5.20E-09,-7.210045,10.54415,-0.5004807,MMP15,matrix metallopeptidase 15
39650_s_at,1.07E-06,5.44E-09,-7.197263,10.50251,-0.5621708,PCNX2,pecanex homolog 2 (Drosophila)
39223_at,1.07E-06,5.44E-09,-7.196897,10.50131,-0.5122334,MROH7,maestro heat like repeat family member 7
32427_at,1.10E-06,5.67E-09,-7.184767,10.46178,-0.8659477,CRYGD,crystallin gamma D
37881_at,1.20E-06,6.35E-09,-7.151534,10.35345,-0.8863775,GDF11,growth differentiation factor 11
32221_at,1.20E-06,6.50E-09,7.144691,10.33113,1.0743247,MRPS18B,mitochondrial ribosomal protein S18B
41317_at,1.20E-06,6.78E-09,7.132314,10.29076,0.8877587,RAP2A,"RAP2A, member of RAS oncogene family"
38485_at,1.20E-06,6.84E-09,7.129505,10.2816,0.8677735,NDUFC1,NADH:ubiquinone oxidoreductase subunit C1
1116_at,1.20E-06,6.88E-09,-7.12773,10.27581,-0.8656041,,
38568_at,1.20E-06,6.93E-09,7.125853,10.26969,0.8720984,TOPORS,TOP1 binding arginine/serine rich protein
36012_at,1.20E-06,6.93E-09,7.125595,10.26885,1.0102972,PIBF1,progesterone immunomodulatory binding factor 1
32452_at,1.20E-06,6.99E-09,-7.12306,10.26058,-0.8098478,TEN1-CDK3///CDK3,TEN1-CDK3 readthrough (NMD candidate)///cyclin dependent kinase 3
38107_at,1.20E-06,7.01E-09,-7.122249,10.25793,-0.5966874,UNC119,unc-119 lipid binding chaperone
35747_at,1.22E-06,7.23E-09,7.113248,10.22856,1.0945469,NPTN,neuroplastin
37475_at,1.22E-06,7.42E-09,-7.105599,10.20361,-0.7049766,WDR62,WD repeat domain 62
38011_at,1.22E-06,7.60E-09,7.098521,10.18051,0.8717495,URI1,"URI1, prefoldin like chaperone"
36418_at,1.22E-06,7.73E-09,-7.09367,10.16468,-0.7009345,PRICKLE3,prickle planar cell polarity protein 3
39509_at,1.22E-06,7.74E-09,7.093196,10.16313,0.7120577,BBIP1,BBSome interacting protein 1
37506_at,1.22E-06,7.74E-09,7.093106,10.16284,0.9984649,PRPF40A,pre-mRNA processing factor 40 homolog A
39727_at,1.24E-06,8.04E-09,7.082078,10.12684,1.1104117,DUSP11,dual specificity phosphatase 11
41311_f_at,1.24E-06,8.06E-09,-7.081271,10.1242,-0.790665,NR2F6,nuclear receptor subfamily 2 group F member 6
1330_at,1.24E-06,8.15E-09,-7.077763,10.11275,-0.6355972,MAP3K3,mitogen-activated protein kinase kinase kinase 3
35153_at,1.27E-06,8.47E-09,7.066556,10.07616,1.3792739,NBN,nibrin
35401_s_at,1.29E-06,8.67E-09,-7.059731,10.05388,-0.8756598,MMP17,matrix metallopeptidase 17
33963_at,1.29E-06,8.79E-09,-7.055686,10.04067,-0.7377879,AZU1,azurocidin 1
37736_at,1.32E-06,9.08E-09,7.045954,10.00889,1.2741399,PCMT1,protein-L-isoaspartate (D-aspartate) O-methyltransferase
39667_at,1.32E-06,9.18E-09,-7.043005,9.99926,-0.5574276,NOVA2,NOVA alternative splicing regulator 2
34385_at,1.33E-06,9.44E-09,7.034761,9.97233,0.8047857,SDHC,succinate dehydrogenase complex subunit C
667_at,1.33E-06,9.46E-09,-7.034189,9.97046,-0.632681,AVPR2,arginine vasopressin receptor 2
36572_r_at,1.34E-06,9.69E-09,7.026831,9.94642,1.5062681,ARL6IP1,ADP ribosylation factor like GTPase 6 interacting protein 1
32968_s_at,1.34E-06,9.73E-09,-7.025644,9.94255,-0.6742762,SEZ6L,seizure related 6 homolog like
34532_at,1.36E-06,1.00E-08,-7.016852,9.91382,-0.6681493,,
37296_at,1.42E-06,1.06E-08,6.99975,9.85794,1.4303325,ARL1,ADP ribosylation factor like GTPase 1
193_at,1.42E-06,1.08E-08,6.994,9.83915,0.7465084,AK6///TAF9,adenylate kinase 6///TATA-box binding protein associated factor 9
35418_at,1.42E-06,1.09E-08,-6.993303,9.83687,-0.6406567,HEXA,hexosaminidase subunit alpha
34929_at,1.42E-06,1.10E-08,-6.989475,9.82436,-0.6809611,TNFRSF8,TNF receptor superfamily member 8
41103_at,1.42E-06,1.11E-08,-6.986883,9.81589,-0.5950516,BRPF1,bromodomain and PHD finger containing 1
31700_at,1.42E-06,1.12E-08,-6.9853,9.81071,-0.5903467,GPR35,G protein-coupled receptor 35
34740_at,1.42E-06,1.13E-08,-6.982563,9.80176,-0.8679761,FOXO3,forkhead box O3
33859_at,1.42E-06,1.14E-08,6.979841,9.79287,1.2082766,SAP18,Sin3A associated protein 18
35307_at,1.42E-06,1.15E-08,6.976654,9.78245,1.1670864,GDI2,GDP dissociation inhibitor 2
32292_at,1.42E-06,1.16E-08,-6.9728,9.76985,-0.4766421,COLEC10,collectin subfamily member 10
32362_r_at,1.42E-06,1.17E-08,6.971723,9.76633,0.859921,TOP3B,topoisomerase (DNA) III beta
38106_at,1.43E-06,1.20E-08,6.965177,9.74493,0.9163609,NSA2,"NSA2, ribosome biogenesis homolog"
41552_g_at,1.43E-06,1.22E-08,6.959568,9.72659,0.6256461,RER1,retention in endoplasmic reticulum sorting receptor 1
33340_at,1.43E-06,1.22E-08,6.958128,9.72188,1.3156602,PJA2,praja ring finger ubiquitin ligase 2
1211_s_at,1.43E-06,1.23E-08,6.957542,9.71996,1.1461542,CRADD,CASP2 and RIPK1 domain containing adaptor with death domain
40893_at,1.43E-06,1.24E-08,6.953905,9.70807,1.0658007,SUCLA2,succinate-CoA ligase ADP-forming beta subunit
37707_i_at,1.43E-06,1.26E-08,6.950473,9.69685,1.0109344,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide"
39139_at,1.43E-06,1.27E-08,6.947326,9.68656,0.8877578,SEC11A,"SEC11 homolog A, signal peptidase complex subunit"
35845_at,1.43E-06,1.28E-08,6.945461,9.68046,0.9306892,SEC24B,"SEC24 homolog B, COPII coat complex component"
37136_at,1.43E-06,1.28E-08,-6.944173,9.67625,-0.5212536,SH2B2,SH2B adaptor protein 2
37046_at,1.44E-06,1.30E-08,6.940599,9.66456,1.0415503,PSMA5,proteasome subunit alpha 5
31468_f_at,1.44E-06,1.31E-08,-6.938325,9.65712,-0.5558131,GRM1,glutamate metabotropic receptor 1
1009_at,1.44E-06,1.34E-08,6.932172,9.637,0.8539353,HINT1,histidine triad nucleotide binding protein 1
33535_at,1.44E-06,1.34E-08,-6.930717,9.63224,-0.6437786,P2RX1,purinergic receptor P2X 1
41080_at,1.44E-06,1.35E-08,-6.930296,9.63087,-0.6612591,H2AFB1///H2AFB2///H2AFB3,H2A histone family member B1///H2A histone family member B2///H2A histone family member B3
37613_at,1.49E-06,1.41E-08,-6.91753,9.58911,-0.9060025,PVALB,parvalbumin
911_s_at,1.53E-06,1.45E-08,6.907455,9.55615,0.9099902,CALM3///CALM2///CALM1,calmodulin 3///calmodulin 2///calmodulin 1
38594_i_at,1.53E-06,1.46E-08,-6.905941,9.55119,-0.8408729,CEP170B,centrosomal protein 170B
31621_s_at,1.53E-06,1.48E-08,-6.901977,9.53822,-0.5926707,ELN,elastin
40797_at,1.54E-06,1.52E-08,6.895211,9.51609,0.8594663,ADAM10,ADAM metallopeptidase domain 10
34620_at,1.54E-06,1.52E-08,-6.895119,9.51578,-0.6604844,PAX5,paired box 5
31408_at,1.64E-06,1.62E-08,-6.87564,9.45204,-0.7367068,RRH,retinal pigment epithelium-derived rhodopsin homolog
35584_s_at,1.65E-06,1.65E-08,-6.87029,9.43453,-0.6844819,CACNA1F,calcium voltage-gated channel subunit alpha1 F
40714_at,1.65E-06,1.66E-08,-6.869118,9.43069,-0.7592479,CTRC,chymotrypsin C
40426_at,1.68E-06,1.70E-08,-6.860996,9.40411,-0.4684325,BCL7B,BCL tumor suppressor 7B
32204_at,1.75E-06,1.80E-08,-6.845001,9.35175,-0.6105409,PDE6G,phosphodiesterase 6G
1446_at,1.75E-06,1.82E-08,6.841817,9.34133,1.3609583,PSMA2,proteasome subunit alpha 2
33657_at,1.75E-06,1.82E-08,6.841062,9.33886,0.8993972,RPL34,ribosomal protein L34
39240_at,1.75E-06,1.83E-08,-6.840194,9.33602,-0.4262738,NRXN1,neurexin 1
32745_at,1.79E-06,1.90E-08,6.828804,9.29872,0.8249792,MRPL40,mitochondrial ribosomal protein L40
40464_g_at,1.79E-06,1.90E-08,6.82874,9.29851,0.8790527,TNPO1,transportin 1
37693_at,1.83E-06,1.96E-08,6.82045,9.27137,0.5247513,LOC101930388///LOC101928143///NUMB,"uncharacterized LOC101930388///uncharacterized LOC101928143///NUMB, endocytic adaptor protein"
40207_g_at,1.83E-06,1.97E-08,6.818951,9.26646,0.5134006,PSKH1,protein serine kinase H1
40441_g_at,1.83E-06,2.00E-08,6.814089,9.25054,1.4000591,SERBP1,SERPINE1 mRNA binding protein 1
35935_at,1.83E-06,2.00E-08,-6.813524,9.24869,-0.824715,CHKB-CPT1B///CPT1B,CHKB-CPT1B readthrough (NMD candidate)///carnitine palmitoyltransferase 1B
34330_at,1.83E-06,2.02E-08,6.811257,9.24127,1.0501859,COX7A2L,cytochrome c oxidase subunit 7A2 like
35542_at,1.83E-06,2.03E-08,-6.809043,9.23402,-0.5384885,TRPC2,"transient receptor potential cation channel subfamily C member 2, pseudogene"
40362_at,1.83E-06,2.04E-08,-6.807638,9.22941,-0.7516286,NFKB2,nuclear factor kappa B subunit 2
33588_at,1.87E-06,2.11E-08,-6.798757,9.20033,-0.4193676,TRAF3IP3,TRAF3 interacting protein 3
32673_at,1.87E-06,2.14E-08,-6.793999,9.18474,-0.4938868,BTN2A1,butyrophilin subfamily 2 member A1
40489_at,1.87E-06,2.14E-08,-6.793863,9.1843,-0.5786831,ATN1,atrophin 1
37114_at,1.87E-06,2.16E-08,-6.790841,9.1744,-0.7632806,ZFHX3,zinc finger homeobox 3
37833_at,1.87E-06,2.17E-08,-6.790598,9.1736,-0.6489351,SERPINA6,serpin family A member 6
32615_at,1.89E-06,2.21E-08,6.784192,9.15262,0.8235678,DARS,aspartyl-tRNA synthetase
35140_at,1.89E-06,2.22E-08,6.783765,9.15122,0.5472723,CDK8,cyclin dependent kinase 8
38564_at,1.90E-06,2.24E-08,-6.780565,9.14074,-0.5949076,ORC1,origin recognition complex subunit 1
33269_at,1.94E-06,2.30E-08,-6.772731,9.11508,-0.7422344,PIGQ,phosphatidylinositol glycan anchor biosynthesis class Q
36688_at,1.94E-06,2.34E-08,6.768366,9.10078,1.9519796,SCP2,sterol carrier protein 2
33656_at,1.94E-06,2.36E-08,6.765247,9.09056,0.8602589,RPL37,ribosomal protein L37
35040_at,1.94E-06,2.36E-08,-6.764878,9.08935,-0.5018278,,
33037_at,1.94E-06,2.37E-08,-6.76457,9.08834,-0.7736666,CHST7,carbohydrate sulfotransferase 7
31387_at,1.96E-06,2.40E-08,-6.759992,9.07335,-0.6518491,,
31776_at,1.97E-06,2.46E-08,-6.753493,9.05205,-0.6088246,,
39360_at,1.97E-06,2.48E-08,6.75138,9.04513,0.9732984,SNX3,sorting nexin 3
36032_at,1.97E-06,2.48E-08,6.750385,9.04187,0.9795179,HSPB11,heat shock protein family B (small) member 11
39863_at,1.97E-06,2.49E-08,-6.749503,9.03898,-0.5232354,ZNF646,zinc finger protein 646
31935_s_at,1.97E-06,2.50E-08,-6.748911,9.03704,-0.8030517,DDX11,DEAD/H-box helicase 11
31554_at,1.99E-06,2.55E-08,-6.74214,9.01486,-0.710867,CHRND,cholinergic receptor nicotinic delta subunit
36422_s_at,1.99E-06,2.56E-08,-6.74187,9.01397,-0.627337,CHRD,chordin
34525_at,2.03E-06,2.64E-08,-6.732312,8.98265,-0.4419621,TCL1B,T-cell leukemia/lymphoma 1B
35294_at,2.03E-06,2.65E-08,6.731392,8.97964,0.7646805,TROVE2,TROVE domain family member 2
31724_at,2.03E-06,2.67E-08,-6.729675,8.97401,-0.7502323,SHH,sonic hedgehog
33545_at,2.03E-06,2.67E-08,-6.728767,8.97104,-0.5339483,SCN4A,sodium voltage-gated channel alpha subunit 4
1346_at,2.08E-06,2.75E-08,-6.720558,8.94413,-0.4555839,MT3,metallothionein 3
39503_s_at,2.08E-06,2.76E-08,-6.719025,8.93911,-0.615501,DPYSL4,dihydropyrimidinase like 4
35445_at,2.15E-06,2.88E-08,-6.70709,8.89999,-0.9301495,ARHGAP33,Rho GTPase activating protein 33
31696_at,2.15E-06,2.90E-08,-6.705256,8.89398,-0.8008242,RAP2B,"RAP2B, member of RAS oncogene family"
1726_at,2.16E-06,2.93E-08,-6.70221,8.884,-0.6889378,POLE,"DNA polymerase epsilon, catalytic subunit"
32544_s_at,2.16E-06,2.94E-08,6.701178,8.88062,1.110364,RSU1,Ras suppressor protein 1
32545_r_at,2.20E-06,3.01E-08,6.69371,8.85614,0.6846063,RSU1,Ras suppressor protein 1
36691_at,2.24E-06,3.08E-08,-6.687231,8.8349,-0.6692689,KYAT1,kynurenine aminotransferase 1
32289_at,2.27E-06,3.15E-08,-6.681124,8.81489,-0.5779547,PTPRS,"protein tyrosine phosphatase, receptor type S"
41664_at,2.27E-06,3.16E-08,-6.679445,8.80938,-0.599258,TIMM44,translocase of inner mitochondrial membrane 44
38973_at,2.28E-06,3.19E-08,-6.67696,8.80124,-0.6044648,HIC2,hypermethylated in cancer 2
33337_at,2.29E-06,3.23E-08,6.673137,8.7887,1.2196887,DEGS1,"delta 4-desaturase, sphingolipid 1"
40610_at,2.30E-06,3.28E-08,6.668883,8.77476,1.2058234,ZFR,zinc finger RNA binding protein
35327_at,2.30E-06,3.28E-08,6.668585,8.77378,0.8033408,EIF3H,eukaryotic translation initiation factor 3 subunit H
39502_at,2.30E-06,3.30E-08,-6.666678,8.76753,-0.7570327,DPYSL4,dihydropyrimidinase like 4
39913_at,2.31E-06,3.33E-08,-6.664211,8.75944,-0.9067422,HS6ST1,heparan sulfate 6-O-sulfotransferase 1
31981_at,2.39E-06,3.46E-08,-6.652965,8.72257,-0.4842063,CRYBB3,crystallin beta B3
36557_at,2.39E-06,3.48E-08,-6.65157,8.718,-0.5132545,CACNB1,calcium voltage-gated channel auxiliary subunit beta 1
35296_at,2.42E-06,3.55E-08,6.645472,8.698,0.6783731,GGPS1,geranylgeranyl diphosphate synthase 1
38865_at,2.42E-06,3.60E-08,-6.641912,8.68633,-0.5253707,GRAP2,GRB2-related adaptor protein 2
AFFX-hum_alu_at,2.42E-06,3.60E-08,-6.641642,8.68545,-0.5609225,,
36171_at,2.42E-06,3.60E-08,6.641417,8.68471,1.4833147,SUB1,"SUB1 homolog, transcriptional regulator"
41736_g_at,2.42E-06,3.62E-08,-6.639971,8.67997,-0.6805969,DENND3,DENN domain containing 3
41598_at,2.44E-06,3.67E-08,6.635601,8.66564,0.6004974,SEC22B,"SEC22 homolog B, vesicle trafficking protein (gene/pseudogene)"
39009_at,2.44E-06,3.69E-08,6.634312,8.66141,1.0713826,LSM3,"LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated"
1789_at,2.44E-06,3.72E-08,6.631631,8.65262,1.2482646,COPS5,COP9 signalosome subunit 5
36722_s_at,2.44E-06,3.75E-08,-6.629775,8.64654,-0.7551889,HNF4A,hepatocyte nuclear factor 4 alpha
38622_at,2.44E-06,3.75E-08,-6.629328,8.64507,-0.5023935,MTG1,mitochondrial ribosome associated GTPase 1
37151_at,2.51E-06,3.89E-08,-6.618719,8.61029,-0.6418934,KAZN,"kazrin, periplakin interacting protein"
41423_at,2.51E-06,3.89E-08,-6.618528,8.60966,-0.6762374,CLSTN3,calsyntenin 3
39726_at,2.52E-06,3.92E-08,-6.616256,8.60221,-0.6594568,GCG,glucagon
41386_i_at,2.55E-06,4.02E-08,-6.609392,8.5797,-1.012463,KDM6B,lysine demethylase 6B
39245_at,2.55E-06,4.04E-08,-6.607707,8.57418,-0.4420358,LPCAT3,lysophosphatidylcholine acyltransferase 3
34326_at,2.55E-06,4.06E-08,6.606575,8.57047,1.1178211,COPB1,coatomer protein complex subunit beta 1
36934_at,2.55E-06,4.07E-08,6.605304,8.5663,0.8246228,OSER1,oxidative stress responsive serine rich 1
38478_at,2.55E-06,4.09E-08,-6.603922,8.56176,-0.598459,SFSWAP,splicing factor SWAP homolog
1995_at,2.55E-06,4.10E-08,-6.603576,8.56063,-0.8043871,XPA,"XPA, DNA damage recognition and repair factor"
39427_at,2.56E-06,4.14E-08,6.600613,8.55091,1.1543517,UQCRB,ubiquinol-cytochrome c reductase binding protein
35917_at,2.57E-06,4.18E-08,-6.597536,8.54082,-0.6200838,MAP1A,microtubule associated protein 1A
38185_at,2.57E-06,4.20E-08,-6.596649,8.53791,-0.7757433,PAX2,paired box 2
37418_at,2.58E-06,4.25E-08,-6.593065,8.52616,-0.5818509,POU2F2,POU class 2 homeobox 2
33905_at,2.58E-06,4.26E-08,6.592526,8.52439,1.130734,MBD2,methyl-CpG binding domain protein 2
31337_at,2.60E-06,4.31E-08,-6.588941,8.51264,-0.6007513,GNRH2,gonadotropin releasing hormone 2
38046_at,2.61E-06,4.34E-08,6.58642,8.50437,0.8341534,IK,"IK cytokine, down-regulator of HLA II"
36545_s_at,2.63E-06,4.41E-08,-6.582065,8.49009,-0.8085264,SFI1,SFI1 centrin binding protein
31713_s_at,2.63E-06,4.42E-08,-6.581714,8.48894,-0.5203189,DLGAP2,DLG associated protein 2
36038_r_at,2.73E-06,4.61E-08,-6.568879,8.44684,-0.8900935,SPTB,"spectrin beta, erythrocytic"
37250_at,2.77E-06,4.71E-08,6.56249,8.42589,0.6884966,GJA9-MYCBP///MYCBP,GJA9-MYCBP readthrough///MYC binding protein
33150_at,2.77E-06,4.72E-08,6.562033,8.42439,0.8578071,UTP3,"UTP3, small subunit processome component homolog (S. cerevisiae)"
39396_at,2.78E-06,4.75E-08,6.560126,8.41813,1.347936,LYPLA1,lysophospholipase I
38464_at,2.85E-06,4.92E-08,-6.55008,8.38518,-0.5661792,MOGS,mannosyl-oligosaccharide glucosidase
38780_at,2.85E-06,4.94E-08,6.548832,8.38109,0.7659324,AKR1A1,aldo-keto reductase family 1 member A1
41734_at,2.85E-06,4.94E-08,-6.548578,8.38026,-0.6005459,DENND3,DENN domain containing 3
34018_at,2.89E-06,5.03E-08,-6.54327,8.36285,-0.460051,COL19A1,collagen type XIX alpha 1 chain
34154_at,2.90E-06,5.08E-08,-6.54033,8.35321,-0.452703,CHRNB2,cholinergic receptor nicotinic beta 2 subunit
41185_f_at,2.90E-06,5.10E-08,6.539591,8.35078,0.9412626,LOC101929087///SUMO2///SUMO3,small ubiquitin-related modifier 2 pseudogene///small ubiquitin-like modifier 2///small ubiquitin-like modifier 3
34088_at,2.93E-06,5.17E-08,-6.535497,8.33735,-0.677305,NXPH4,neurexophilin 4
38699_at,2.95E-06,5.24E-08,-6.531332,8.32369,-0.4670552,TUBB4A,tubulin beta 4A class IVa
41611_at,2.95E-06,5.26E-08,6.530552,8.32113,0.5477726,TRIP4,thyroid hormone receptor interactor 4
39270_at,2.96E-06,5.31E-08,-6.527834,8.31222,-0.5347669,CLEC4M,C-type lectin domain family 4 member M
32431_at,2.97E-06,5.39E-08,-6.523188,8.29698,-0.5486188,ZP2,zona pellucida glycoprotein 2
38605_at,2.97E-06,5.41E-08,6.522362,8.29427,1.0151905,NDUFB1,NADH:ubiquinone oxidoreductase subunit B1
41397_at,2.97E-06,5.42E-08,-6.521354,8.29096,-0.7027817,ZNF821,zinc finger protein 821
34241_at,2.97E-06,5.43E-08,-6.521322,8.29086,-0.5213937,GATA4,GATA binding protein 4
33418_at,2.97E-06,5.43E-08,6.521278,8.29071,0.4117201,RAB3GAP1,RAB3 GTPase activating protein catalytic subunit 1
686_s_at,2.98E-06,5.47E-08,-6.518896,8.2829,-0.5988276,ERVK-19///ERVK-9///ERVK-4,endogenous retrovirus group K member 19///endogenous retrovirus group K member 9///endogenous retrovirus group K member 4
33688_at,3.08E-06,5.68E-08,-6.507882,8.24677,-0.693157,GBX2,gastrulation brain homeobox 2
37282_at,3.08E-06,5.71E-08,6.506517,8.24229,0.8492904,MAD2L1,MAD2 mitotic arrest deficient-like 1 (yeast)
34920_at,3.11E-06,5.79E-08,-6.502293,8.22844,-0.6119604,AIRE,autoimmune regulator
38950_r_at,3.12E-06,5.83E-08,-6.500006,8.22094,-0.7340715,MMP23A///MMP23B,matrix metallopeptidase 23A (pseudogene)///matrix metallopeptidase 23B
36165_at,3.13E-06,5.87E-08,6.498044,8.2145,1.0818894,COX6C,cytochrome c oxidase subunit 6C
33745_at,3.15E-06,5.93E-08,-6.49511,8.20488,-0.6385824,PHKG2,phosphorylase kinase catalytic subunit gamma 2
32021_at,3.18E-06,6.02E-08,-6.490752,8.19058,-0.6603319,,
41427_at,3.24E-06,6.17E-08,-6.483759,8.16764,-0.8054255,,
